user_id,heart_rate_BPM,blood_oxygen_level,step_count,sleep_duration_hr,activity_level,stress_level,activity_intensity,stress_sleep_ratio,health_score
1,65.0,98.3,5845.1,7.2,Sedentary,5,379931.50,0.6944,0.813200
2,58.9,98.8,5450.4,7.2,Highly_Active,1,321028.56,0.1389,0.935200
3,79.9,96.2,840.7,9.6,Sedentary,2,67171.93,0.2083,0.984800
4,85.5,99.1,12448.5,7.5,Active,3,1064346.75,0.4000,0.887650
5,48.1,98.2,2244.8,5.0,Active,9,107974.88,1.8000,0.610300
6,51.4,97.3,7940.0,8.0,Sedentary,8,408116.00,1.0000,0.749200
7,72.9,99.8,27114.0,8.0,Highly_Active,8,1976610.60,1.0000,0.759200
8,69.2,95.1,5808.2,7.0,Highly_Active,4,401927.44,0.5714,0.822900
9,51.8,100.0,2323.4,5.9,Active,7,120352.12,1.1864,0.711250
10,61.1,94.7,229.0,4.9,Highly_Active,7,13991.90,1.4286,0.652550
11,79.9,98.2,2899.7,5.2,Active,9,231686.03,1.7308,0.617800
12,88.5,95.0,1685.4,4.4,Highly_Active,6,149157.90,1.3636,0.665000
13,45.2,98.5,6243.1,7.1,Sedentary,6,282188.12,0.8451,0.780250
14,76.7,95.9,3446.6,6.9,Active,6,264354.22,0.8696,0.762350
15,75.6,96.0,3773.8,5.4,Highly_Active,2,285299.28,0.3704,0.826500
16,82.0,98.0,270.0,6.5,Sedentary,1,22140.00,0.1538,0.905750
17,85.1,99.5,609.8,6.3,Active,3,51893.98,0.4762,0.844250
18,63.4,97.6,1566.3,6.2,Active,9,99303.42,1.4516,0.652900
19,87.7,96.8,1681.4,6.7,Active,7,147458.78,1.0448,0.728450
20,62.2,98.6,20104.3,6.0,Active,5,1250487.46,0.8333,0.769400
21,80.8,99.0,1064.6,8.0,Highly_Active,7,86019.68,0.8750,0.786000
22,0.0,97.8,32303.8,6.9,Active,4,0.00,0.5797,0.829950
23,62.6,100.0,504.3,7.3,Sedentary,2,31569.18,0.2740,0.913750
24,55.4,98.4,15769.0,6.2,Active,4,873602.60,0.6452,0.806100
25,91.2,96.3,8029.3,7.7,Active,2,732272.16,0.2597,0.913950
26,61.7,98.8,3512.8,2.7,Sedentary,5,216739.76,1.8519,0.646450
27,58.4,96.3,1368.3,8.6,Sedentary,10,79908.72,1.1628,0.707700
28,59.2,100.0,2872.3,6.2,Highly_Active,1,170040.16,0.1613,0.902500
29,63.2,97.6,17627.3,3.8,Sedentary,9,1114045.36,2.3684,0.562900
30,67.4,99.5,1318.2,4.2,Active,4,88846.68,0.9524,0.735500
31,74.2,96.0,11550.3,6.3,Highly_Active,10,857032.26,1.5873,0.620250
32,71.2,99.2,4337.0,6.7,Sedentary,5,308794.40,0.7463,0.798050
33,93.3,96.9,10366.0,7.3,Active,2,967147.80,0.2740,0.901350
34,83.3,99.9,1523.0,8.1,Highly_Active,7,126865.90,0.8642,0.793350
35,80.5,99.5,12260.3,5.9,Active,10,986954.15,1.6949,0.619250
36,69.6,99.0,4845.8,7.5,Sedentary,2,337267.68,0.2667,0.917250
37,89.4,96.5,1388.9,5.5,Highly_Active,8,124167.66,1.4545,0.652250
38,77.0,98.6,1392.3,5.5,Sedentary,5,107207.10,0.9091,0.750650
39,73.9,100.0,10403.1,6.2,Sedentary,1,768789.09,0.1613,0.902500
40,62.3,98.2,10300.1,8.8,Active,4,641696.23,0.4545,0.902800
41,80.7,95.2,8646.7,7.6,Highly_Active,3,697788.69,0.3947,0.875800
42,72.9,98.2,924.5,8.6,Highly_Active,4,67396.05,0.4651,0.895300
43,76.7,98.6,20812.0,2.8,Active,9,1596280.40,3.2143,0.529400
44,69.7,98.0,5577.0,7.5,Sedentary,4,388716.90,0.5333,0.853250
