user_id,heart_rate_BPM,blood_oxygen_level,step_count,sleep_duration_hr,activity_level,stress_level,health
1,65.0,98.3,5845.1,7.2,Sedentary,5,Good
2,58.9,98.8,5450.4,7.2,Highly_Active,1,Excellent
3,79.9,96.2,840.7,9.6,Sedentary,2,Excellent
4,85.5,99.1,12448.5,7.5,Active,3,Excellent
5,48.1,98.2,2244.8,5.0,Active,9,Moderate
6,51.4,97.3,7940.0,8.0,Sedentary,8,Good
7,72.9,99.8,27114.0,8.0,Highly_Active,8,Good
8,69.2,95.1,5808.2,7.0,Highly_Active,4,Good
9,51.8,100.0,2323.4,5.9,Active,7,Good
10,61.1,94.7,229.0,4.9,Highly_Active,7,Moderate
11,79.9,98.2,2899.7,5.2,Active,9,Moderate
12,88.5,95.0,1685.4,4.4,Highly_Active,6,Moderate
13,45.2,98.5,6243.1,7.1,Sedentary,6,Good
14,76.7,95.9,3446.6,6.9,Active,6,Good
15,75.6,96.0,3773.8,5.4,Highly_Active,2,Good
16,82.0,98.0,270.0,6.5,Sedentary,1,Excellent
17,85.1,99.5,609.8,6.3,Active,3,Good
18,63.4,97.6,1566.3,6.2,Active,9,Moderate
19,87.7,96.8,1681.4,6.7,Active,7,Good
20,62.2,98.6,20104.3,6.0,Active,5,Good
21,80.8,99.0,1064.6,8.0,Highly_Active,7,Good
22,0.0,97.8,32303.8,6.9,Active,4,Good
23,62.6,100.0,504.3,7.3,Sedentary,2,Excellent
24,55.4,98.4,15769.0,6.2,Active,4,Good
25,91.2,96.3,8029.3,7.7,Active,2,Excellent
26,61.7,98.8,3512.8,2.7,Sedentary,5,Moderate
27,58.4,96.3,1368.3,8.6,Sedentary,10,Good
28,59.2,100.0,2872.3,6.2,Highly_Active,1,Excellent
29,63.2,97.6,17627.3,3.8,Sedentary,9,Moderate
30,67.4,99.5,1318.2,4.2,Active,4,Good
31,74.2,96.0,11550.3,6.3,Highly_Active,10,Moderate
32,71.2,99.2,4337.0,6.7,Sedentary,5,Good
33,93.3,96.9,10366.0,7.3,Active,2,Excellent
34,83.3,99.9,1523.0,8.1,Highly_Active,7,Good
35,80.5,99.5,12260.3,5.9,Active,10,Moderate
36,69.6,99.0,4845.8,7.5,Sedentary,2,Excellent
37,89.4,96.5,1388.9,5.5,Highly_Active,8,Moderate
38,77.0,98.6,1392.3,5.5,Sedentary,5,Good
39,73.9,100.0,10403.1,6.2,Sedentary,1,Excellent
40,62.3,98.2,10300.1,8.8,Active,4,Excellent
41,80.7,95.2,8646.7,7.6,Highly_Active,3,Excellent
42,72.9,98.2,924.5,8.6,Highly_Active,4,Excellent
43,76.7,98.6,20812.0,2.8,Active,9,Moderate
44,69.7,98.0,5577.0,7.5,Sedentary,4,Excellent
45,88.7,97.6,239.3,5.2,Active,3,Good
46,48.7,99.9,1310.2,8.8,Active,10,Good
47,83.1,95.7,14749.9,7.1,Sedentary,1,Excellent
48,0.0,98.4,15519.3,8.0,Active,5,Good
49,65.1,100.0,511.9,5.4,Highly_Active,3,Good
50,76.2,97.4,7732.6,7.6,Active,9,Good
51,86.0,99.3,1516.5,7.8,Sedentary,2,Excellent
52,55.2,98.3,1223.4,7.4,Highly_Active,8,Good
53,49.0,97.8,9640.1,6.3,Highly_Active,6,Good
54,74.6,100.0,164.8,5.0,Active,7,Moderate
55,102.2,96.6,14808.4,4.0,Highly_Active,3,Good
56,71.2,95.7,8777.1,5.4,Active,3,Good
57,0.0,99.7,931.1,6.2,Active,5,Good
58,91.8,99.8,3761.6,7.4,Active,5,Good
59,71.4,100.0,11347.6,8.0,Active,2,Excellent
60,81.8,97.4,15444.3,5.5,Sedentary,6,Good
61,48.5,99.6,3729.4,6.5,Active,7,Good
62,96.2,97.0,24830.8,8.2,Sedentary,10,Moderate
63,65.4,99.0,4767.7,6.8,Sedentary,10,Moderate
64,68.5,97.9,1095.3,6.9,Active,9,Moderate
65,80.2,96.4,20460.8,8.1,Active,6,Good
66,61.1,96.1,6923.7,5.6,Active,6,Good
67,89.0,98.9,7353.1,6.1,Highly_Active,2,Excellent
68,70.6,99.9,2019.8,6.5,Active,3,Excellent
69,54.1,96.5,9200.5,5.5,Sedentary,9,Moderate
70,47.5,93.1,42013.0,6.2,Sedentary,5,Good
71,82.8,100.0,1274.4,8.8,Sedentary,10,Good
72,62.8,98.8,1332.4,6.1,Active,1,Excellent
73,53.1,100.0,1550.1,5.3,Highly_Active,9,Moderate
74,69.0,96.6,9152.6,6.2,Sedentary,3,Good
75,66.8,96.6,4641.4,4.6,Highly_Active,8,Moderate
76,0.0,99.2,3663.8,6.4,Highly_Active,3,Good
77,76.5,99.3,10560.1,6.9,Active,3,Excellent
78,63.4,97.1,6957.1,5.3,Sedentary,2,Good
79,46.9,98.3,2226.5,6.4,Sedentary,10,Moderate
80,88.8,97.8,18249.1,5.2,Highly_Active,6,Good
81,93.4,99.3,3214.1,6.8,Highly_Active,2,Excellent
82,74.9,95.7,9163.7,4.1,Active,9,Moderate
83,55.0,97.8,2773.7,3.4,Sedentary,2,Good
84,79.5,99.6,7442.3,4.2,Sedentary,6,Moderate
85,75.1,95.8,9164.8,6.6,Highly_Active,6,Good
86,53.9,100.0,963.2,5.7,Active,2,Excellent
87,79.8,100.0,8778.3,6.2,Active,5,Good
88,54.4,100.0,11358.4,7.4,Sedentary,9,Good
89,87.7,97.6,8662.6,6.4,Active,7,Good
90,67.9,97.5,18932.3,7.0,Sedentary,10,Moderate
91,56.0,94.4,4697.2,4.5,Active,1,Good
92,0.0,99.3,26.2,6.4,Active,10,Moderate
93,58.7,97.1,2177.0,5.3,Active,4,Good
94,107.3,97.3,5957.8,8.9,Highly_Active,9,Good
95,71.6,96.8,4586.0,6.0,Sedentary,9,Moderate
96,95.3,96.4,18314.8,9.8,Highly_Active,5,Excellent
97,95.2,97.9,4027.2,7.5,Sedentary,10,Moderate
98,58.1,98.8,7084.6,7.6,Sedentary,2,Excellent
99,86.5,96.6,4456.6,6.9,Sedentary,3,Excellent
100,67.8,96.5,16607.3,6.7,Sedentary,1,Excellent
101,82.9,97.3,2268.2,6.1,Highly_Active,5,Good
102,94.5,94.8,14974.0,7.0,Active,4,Good
103,79.6,96.0,11831.0,3.6,Sedentary,6,Moderate
104,63.1,96.9,17655.6,5.9,Sedentary,4,Good
105,67.6,100.0,4316.7,7.1,Sedentary,6,Good
106,48.3,98.5,6995.4,4.5,Active,7,Moderate
107,54.7,96.3,15745.2,5.6,Highly_Active,5,Good
108,91.0,98.9,10531.2,7.8,Active,9,Good
109,63.0,96.5,5381.9,7.0,Highly_Active,4,Good
110,73.6,100.0,709.3,9.9,Highly_Active,8,Good
111,82.7,97.4,703.9,4.3,Active,6,Moderate
112,80.5,100.0,3683.9,5.0,Sedentary,4,Good
113,67.8,98.3,1854.4,4.3,Active,9,Moderate
114,77.8,93.8,16501.0,6.3,Sedentary,1,Excellent
115,51.4,98.1,2634.5,9.3,Highly_Active,7,Good
116,76.6,98.9,24311.0,8.8,Sedentary,6,Good
117,91.0,98.4,9736.1,5.5,Highly_Active,5,Good
118,77.7,96.9,7609.5,8.5,Highly_Active,2,Excellent
119,108.0,97.9,12316.8,5.2,Sedentary,3,Good
120,91.7,100.0,7173.6,5.8,Highly_Active,1,Excellent
121,68.2,94.9,581.1,5.7,Active,9,Moderate
122,68.9,98.4,1847.1,6.6,Active,8,Good
123,90.4,97.9,17367.3,8.9,Active,5,Excellent
